id,label
0,1
1,0
2,1
3,0
4,1
5,1
6,1
7,0
8,1
9,0
10,1
11,1
12,0
13,0
14,1
15,1
16,1
17,0
18,1
19,1
20,0
21,0
22,1
23,0
24,0
25,1
26,0
27,0
28,1
29,1
30,1
31,1
32,0
33,1
34,1
35,1
36,0
37,0
38,1
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,1
49,1
50,1
51,0
52,1
53,0
54,0
55,1
56,1
57,0
58,1
59,0
60,0
61,1
62,1
63,0
64,0
65,1
66,0
67,1
68,0
69,1
70,1
71,1
72,0
73,1
74,0
75,0
76,1
77,1
78,0
79,1
80,1
81,0
82,0
83,0
84,0
85,1
86,1
87,1
88,1
89,0
90,1
91,1
92,0
93,0
94,1
95,1
96,0
97,1
98,0
99,0
100,0
101,0
102,0
103,0
104,1
105,1
106,1
107,1
108,1
109,0
110,1
111,1
112,1
113,1
114,0
115,0
116,0
117,1
118,0
119,0
120,1
121,1
122,1
123,1
124,1
125,1
126,0
127,1
128,0
129,1
130,1
131,1
132,0
133,0
134,0
135,0
136,1
137,0
138,0
139,0
140,1
141,1
142,0
143,1
144,0
145,1
146,0
147,0
148,0
149,0
150,1
151,0
152,0
153,1
154,1
155,0
156,1
157,1
158,1
159,1
160,1
161,1
162,0
163,1
164,1
165,1
166,1
167,0
168,0
169,1
170,1
171,0
172,1
173,0
174,1
175,1
176,0
177,0
178,1
179,1
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,1
190,0
191,1
192,1
193,0
194,1
195,0
196,1
197,1
198,0
199,1
200,1
201,1
202,0
203,0
204,1
205,0
206,0
207,1
208,0
209,1
210,1
211,1
212,0
213,1
214,1
215,1
216,1
217,0
218,1
219,0
220,0
221,1
222,0
223,1
224,0
225,1
226,1
227,1
228,1
229,1
230,1
231,0
232,1
233,1
234,0
235,1
236,0
237,0
238,1
239,1
240,0
241,0
242,1
243,0
244,0
245,1
246,0
247,1
248,1
249,1
250,0
251,1
252,0
253,1
254,0
255,1
256,1
257,1
258,1
259,0
260,0
261,1
262,1
263,1
264,1
265,1
266,0
267,1
268,0
269,1
270,1
271,0
272,0
273,1
274,0
275,0
276,1
277,1
278,1
279,0
280,0
281,1
282,1
283,1
284,0
285,1
286,1
287,0
288,1
289,1
290,1
291,1
292,0
293,1
294,0
295,1
296,1
297,0
298,1
299,0
300,0
301,0
302,0
303,1
304,0
305,0
306,0
307,1
308,0
309,0
310,1
311,0
312,0
313,0
314,1
315,0
316,1
317,0
318,1
319,0
320,0
321,0
322,0
323,0
324,1
325,1
326,0
327,1
328,0
329,0
330,0
331,1
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,1
340,1
341,0
342,1
343,1
344,0
345,0
346,1
347,0
348,1
349,1
350,0
351,0
352,0
353,0
354,1
355,0
356,1
357,1
358,0
359,0
360,0
361,0
362,0
363,1
364,1
365,0
366,0
367,0
368,0
369,1
370,0
371,1
372,0
373,0
374,1
375,0
376,1
377,1
378,0
379,1
380,1
381,0
382,1
383,0
384,1
385,0
386,1
387,1
388,1
389,0
390,1
391,1
392,0
393,0
394,1
395,0
396,0
397,0
398,1
399,0
400,1
401,1
402,1
403,1
404,1
405,0
406,0
407,0
408,1
409,0
410,0
411,0
412,1
413,1
414,0
415,1
416,1
417,1
418,1
419,1
420,0
421,1
422,1
423,1
424,0
425,0
426,0
427,0
428,1
429,0
430,1
431,1
432,1
433,0
434,0
435,0
436,1
437,0
438,0
439,1
440,1
441,1
442,1
443,1
444,1
445,0
446,0
447,0
448,0
449,0
450,1
451,0
452,1
453,0
454,0
455,0
456,1
457,1
458,0
459,1
460,1
461,1
462,1
463,1
464,0
465,1
466,1
467,0
468,1
469,1
470,1
471,1
472,0
473,1
474,0
475,1
476,1
477,1
478,1
479,1
480,0
481,1
482,1
483,0
484,0
485,1
486,1
487,1
488,1
489,1
490,0
491,0
492,0
493,0
494,1
495,0
496,0
497,0
498,1
499,1
500,1
501,1
502,1
503,0
504,0
505,0
506,0
507,0
508,1
509,0
510,0
511,1
512,1
513,0
514,0
515,0
516,1
517,0
518,1
519,1
520,0
521,1
522,0
523,1
524,1
525,1
526,1
527,0
528,1
529,1
530,0
531,1
532,1
533,1
534,1
535,0
536,0
537,1
538,0
539,1
540,1
541,0
542,0
543,0
544,1
545,1
546,1
547,1
548,1
549,0
550,0
551,1
552,1
553,1
554,1
555,0
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,0
565,0
566,0
567,0
568,1
569,0
570,1
571,1
572,1
573,1
574,1
575,1
576,0
577,0
578,1
579,0
580,0
581,1
582,1
583,0
584,0
585,1
586,0
587,1
588,0
589,1
590,1
591,1
592,1
593,0
594,1
595,1
596,0
597,0
598,1
599,1
600,1
601,0
602,0
603,0
604,0
605,0
606,1
607,0
608,0
609,1
610,0
611,0
612,0
613,1
614,0
615,1
616,0
617,0
618,1
619,0
620,1
621,1
622,0
623,0
624,1
625,0
626,1
627,1
628,0
629,1
630,1
631,0
632,1
633,0
634,0
635,0
636,1
637,1
638,1
639,1
640,0
641,0
642,0
643,0
644,0
645,1
646,0
647,0
648,0
649,1
650,1
651,0
652,0
653,1
654,1
655,0
656,0
657,1
658,0
659,1
660,1
661,0
662,1
663,1
664,0
665,0
666,0
667,1
668,0
669,0
670,0
671,1
672,0
673,1
674,0
675,1
676,0
677,1
678,0
679,0
680,1
681,1
682,0
683,1
684,0
685,0
686,1
687,0
688,1
689,0
690,0
691,0
692,0
693,0
694,0
695,1
696,0
697,0
698,1
699,0
700,1
701,1
702,0
703,0
704,0
705,1
706,1
707,0
708,1
709,1
710,0
711,1
712,1
713,1
714,0
715,0
716,1
717,1
718,1
719,0
720,1
721,1
722,0
723,0
724,1
725,0
726,0
727,1
728,1
729,0
730,1
731,0
732,1
733,1
734,0
735,0
736,0
737,0
738,1
739,0
740,1
741,1
742,1
743,0
744,0
745,0
746,0
747,0
748,0
749,1
750,0
751,0
752,0
753,1
754,1
755,0
756,1
757,1
758,0
759,0
760,0
761,1
762,1
763,1
764,1
765,1
766,1
767,0
768,1
769,0
770,0
771,1
772,1
773,1
774,1
775,1
776,1
777,0
778,1
779,1
780,1
781,0
782,0
783,1
784,0
785,1
786,1
787,0
788,1
789,1
790,1
791,0
792,1
793,0
794,0
795,0
796,1
797,0
798,0
799,1
800,1
801,0
802,0
803,0
804,0
805,1
806,1
807,0
808,0
809,1
810,1
811,0
812,0
813,0
814,1
815,0
816,0
817,1
818,1
819,1
820,0
821,0
822,0
823,0
824,0
825,0
826,1
827,0
828,0
829,0
830,1
831,0
832,0
833,1
834,1
835,1
836,1
837,0
838,0
839,1
840,1
841,1
842,0
843,1
844,1
845,1
846,1
847,1
848,0
849,0
850,1
851,0
852,0
853,1
854,0
855,0
856,0
857,0
858,1
859,0
860,0
861,0
862,0
863,1
864,1
865,1
866,0
867,0
868,1
869,0
870,1
871,0
872,0
873,1
874,0
875,0
876,1
877,1
878,0
879,0
880,1
881,0
882,1
883,1
884,0
885,0
886,1
887,1
888,0
889,1
890,1
891,0
892,1
893,1
894,1
895,0
896,0
897,0
898,0
899,1
900,1
901,1
902,1
903,1
904,0
905,1
906,1
907,1
908,1
909,1
910,1
911,1
912,0
913,1
914,0
915,1
916,0
917,1
918,1
919,0
920,0
921,1
922,0
923,0
924,1
925,0
926,0
927,0
928,1
929,0
930,1
931,1
932,1
933,1
934,1
935,1
936,1
937,1
938,0
939,1
940,0
941,1
942,0
943,1
944,0
945,1
946,0
947,1
948,0
949,0
950,0
951,0
952,0
953,0
954,1
955,0
956,0
957,0
958,1
959,0
960,1
961,1
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,1
971,1
972,0
973,0
974,0
975,1
976,0
977,1
978,0
979,0
980,1
981,0
982,0
983,0
984,0
985,0
986,0
987,1
988,1
989,0
990,1
991,1
992,1
993,0
994,1
995,1
996,1
997,1
998,1
999,1
1000,1
1001,0
1002,0
1003,1
1004,0
1005,0
1006,0
1007,0
1008,1
1009,0
1010,0
1011,1
1012,1
1013,0
1014,0
1015,0
1016,0
1017,1
1018,1
1019,1
1020,1
1021,0
1022,0
1023,1
1024,0
1025,1
1026,1
1027,0
1028,0
1029,0
1030,1
1031,0
1032,0
1033,1
1034,0
1035,1
1036,1
1037,0
1038,0
1039,1
1040,1
1041,1
1042,0
1043,0
1044,0
1045,0
1046,1
1047,0
1048,0
1049,1
1050,1
1051,1
1052,0
1053,1
1054,0
1055,1
1056,0
1057,1
1058,0
1059,0
1060,0
1061,0
1062,0
1063,1
1064,1
1065,1
1066,1
1067,1
1068,0
1069,0
1070,1
1071,0
1072,0
1073,0
1074,0
1075,1
1076,1
1077,0
1078,0
1079,0
1080,0
1081,1
1082,1
1083,0
1084,0
1085,0
1086,0
1087,0
1088,1
1089,1
1090,0
1091,0
1092,0
1093,0
1094,1
1095,1
1096,0
1097,0
1098,1
1099,0
1100,0
1101,1
1102,1
1103,0
1104,0
1105,0
1106,0
1107,1
1108,1
1109,1
1110,1
1111,1
1112,0
1113,1
1114,1
1115,0
1116,1
1117,1
1118,0
1119,1
1120,0
1121,0
1122,1
1123,0
1124,0
1125,1
1126,1
1127,1
1128,1
1129,1
1130,0
1131,1
1132,1
1133,1
1134,0
1135,1
1136,0
1137,1
1138,0
1139,0
1140,0
1141,0
1142,1
1143,1
1144,1
1145,0
1146,1
1147,1
1148,1
1149,0
1150,0
1151,0
1152,1
1153,0
1154,1
1155,1
1156,1
1157,0
1158,1
1159,0
1160,0
1161,0
1162,1
1163,1
1164,1
1165,1
1166,1
1167,1
1168,0
1169,1
1170,0
1171,0
1172,0
1173,0
1174,1
1175,0
1176,1
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0
1184,0
1185,1
1186,1
1187,0
1188,1
1189,0
1190,1
1191,1
1192,1
1193,0
1194,1
1195,1
1196,1
1197,0
1198,0
1199,1
1200,1
1201,1
1202,0
1203,0
1204,0
1205,0
1206,1
1207,0
1208,1
1209,0
1210,1
1211,0
1212,0
1213,0
1214,0
1215,1
1216,0
1217,0
1218,1
1219,1
1220,1
1221,0
1222,1
1223,0
1224,0
1225,1
1226,1
1227,1
1228,0
1229,1
1230,1
